grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	interview.1interview.2interview.3interview4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4
264	RNH	0	0	0	0	0	0	0				SH.O.231	SH.O.233	SH.O.4	SH.O.241
271	GH	2	2	2				9		222	yearround	KM.O.11	KM.O.12	KM.O.13	
271	WH	0	0	0						0		KM.O.11	KM.O.12	KM.O.13	
271	OPH	0	0	2						2		KM.O.11	KM.O.12	KM.O.13	
271	RNH	0	0	0						0		KM.O.11	KM.O.12	KM.O.13	
272	GH	2	2	2						222	yearround	KM.O.11	KM.O.12	KM.O.13	
272	WH	0	0	0						222		KM.O.11	KM.O.12	KM.O.13	
272	OPH	2	2	2				12				KM.O.11	KM.O.12	KM.O.13	
272	RNH	0	0	0						0		KM.O.11	KM.O.12	KM.O.13	
280	GH	0	0	0						0		PK.O.51	PK.O.52	PK.O.53	
280	WH	0	0	0						0		PK.O.51	PK.O.52	PK.O.53	
280	OPH	0	0	0						0		PK.O.51	PK.O.52	PK.O.53	
280	RNH	2	2	1				6		221	11,12,1,2	PK.O.51	PK.O.52	PK.O.53	
282	GH	0	0	0						0		PK.O.11	PK.O.12	PK.O.13	
282	WH	2	0	0				6		200		PK.O.11	PK.O.12	PK.O.13	
282	OPH	0	0	0						0		PK.O.11	PK.O.12	PK.O.13	
282	RNH	2	2	2				3		222		PK.O.11	PK.O.12	PK.O.13	
320	GH	2	2	2				4		222	yearround	KM.O.21	KM.O.22	KM.O.23	
320	WH	0	0	0						0		KM.O.21	KM.O.22	KM.O.23	
320	OPH	0	0	0						0		KM.O.21	KM.O.22	KM.O.23	
320	RNH	2	2	0				10		220	yearround	KM.O.21	KM.O.22	KM.O.23	
339	GH	0	0	0						0		TR.O.11	TR.O.12	TR.O.13	
339	WH	0	0	0						0		TR.O.11	TR.O.12	TR.O.13	
339	OPH	0	0	0						0		TR.O.11	TR.O.12	TR.O.13	
339	RNH	0	0	0						0		TR.O.11	TR.O.12	TR.O.13	
340	GH	0	0	0						0		TR.O.11	TR.O.12	TR.O.13	
340	WH	0	0	0						0		TR.O.11	TR.O.12	TR.O.13	
340	OPH	0	0	0						0		TR.O.11	TR.O.12	TR.O.13	
340	RNH	0	0	0						0		TR.O.11	TR.O.12	TR.O.13	
341	GH	0	0	0						0		SM.O.11	SM.O.12	SM.O.13	
341	WH	0	2	0						20	11,12,1	SM.O.11	SM.O.12	SM.O.13	
341	OPH	0	2	0						20	11,12,1	SM.O.11	SM.O.12	SM.O.13	
341	RNH	0	0	0						0		SM.O.11	SM.O.12	SM.O.13	
375	GH	0	2	0				3		20		WT.O.11	WT.O.12	WT.O.13	
375	WH	0	0	0						0		WT.O.11	WT.O.12	WT.O.13	
375	OPH	0	0	0						0		WT.O.11	WT.O.12	WT.O.13	
375	RNH	2	0	2				8		202	10,11,12	WT.O.11	WT.O.12	WT.O.13	
417	GH	0	0	0		0	0	0		0		BM.O.1	BM.O.2	BM.O.3	
417	OPH	0	0	0								BM.O.1	BM.O.2	BM.O.3	
417	RNH	2	0	0		2	0	0		200	10,11	BM.O.1	BM.O.2	BM.O.3	
417	WH	0	0	0		0	0	0		0		BM.O.1	BM.O.2	BM.O.3	
423	GH	0	2	0	0	0	4	0	0	200	10,11,12	BN.O.11	BN.O.12	BN.O.13	BN.O.14
423	WH	0	0	0	0	0	0	0	0	0		BN.O.11	BN.O.12	BN.O.13	BN.O.14
423	OPH	0	0	0	2				10	2	11	BN.O.11	BN.O.12	BN.O.13	BN.O.14
423	RNH	0	2	2	2	0			50	222	10,11,12	BN.O.11	BN.O.12	BN.O.13	BN.O.14
424	GH	0	0	0						0		LL.O.82	CH.O.3	CH.O.4	
424	WH	0	0	0						0		LL.O.82	CH.O.3	CH.O.4	
424	OPH	0	0	0						0		LL.O.82	CH.O.3	CH.O.4	
424	RNH	0	0	0						0		LL.O.82	CH.O.3	CH.O.4	
426	GH	0	2	0				13		20	11,12,1	LM.O.11	LM.O.12	LM.O.13	
426	WH	0	0	0						0		LM.O.11	LM.O.12	LM.O.13	
426	OPH	0	0	0						0		LM.O.11	LM.O.12	LM.O.13	
426	RNH	0	0	2				12		2	11,12,1	LM.O.11	LM.O.12	LM.O.13	
431	GH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
431	WH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
431	OPH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
431	RNH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
438	GH	0	0	0	0					0		TM.O.11	TM.O.12	TM.O.13	TM.O.14
438	WH	0	0	0	0					0		TM.O.11	TM.O.12	TM.O.13	TM.O.14
438	OPH	0	0	0	0					0		TM.O.11	TM.O.12	TM.O.13	TM.O.14
438	RNH	0	2	2	2					222		TM.O.11	TM.O.13	TM.O.14	
439	GH	0	0	0	0					0		TM.O.11	TM.O.12	TM.O.13	TM.O.14
439	WH	0	0	0	0					0		TM.O.11	TM.O.12	TM.O.13	TM.O.14
439	OPH	0	0	0	0					0		TM.O.11	TM.O.12	TM.O.13	TM.O.14
439	RNH	0	0	0	2					2		TM.O.11	TM.O.12	TM.O.13	TM.O.14
486	GH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
486	WH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
486	OPH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
486	RNH	2	0	0						200		SG.O.11	SG.O.12	SG.O.21	
487	GH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
487	WH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
487	OPH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
487	RNH	0	0	0						0		SG.O.11	SG.O.12	SG.O.21	
520	GH	0	0	0								LB.O.1	LB.O.2	LB.O.3	
520	WH	0	0	0								LB.O.1	LB.O.2	LB.O.3	
520	OPH	0	0	0								LB.O.1	LB.O.2	LB.O.3	
520	RNH	0	0	0		0	0	0		0		LB.O.1	LB.O.2	LB.O.3	
528	RNH	0	0	0	0	0	0	0		0	summer	KH.O.1	KH.O.2	KH.O.3	NJ.O.1
528	OPH	0	0	0	0							KH.O.1	KH.O.2	KH.O.3	NJ.O.1
528	GH	0	0	0	0	0	0	0		0	summer	KH.O.1	KH.O.2	KH.O.3	NJ.O.1
528	WH	0	0	0	0	0	0	0		0		KH.O.1	KH.O.2	KH.O.3	NJ.O.1
529	GH	0	0	0		0	0	0		0		KH.O.1	KH.O.2	KH.O.3	
529	WH	0	0	0		0	0	0		0		KH.O.1	KH.O.2	KH.O.3	
529	OPH	0	0	0	0	0	0	0		0		KH.O.1	KH.O.2	KH.O.3	NJ.O.1
529	RNH	0	0	0	0	0	0	0		0		KH.O.1	KH.O.2	KH.O.3	NJ.O.1
550	GH	0	0	0	0					0		PN.O.11	PN.O.12	PN.O.13	PN.O.14
550	WH	0	0	0	0					0		PN.O.11	PN.O.12	PN.O.13	PN.O.14
550	OPH	0	0	0	0					0		PN.O.11	PN.O.12	PN.O.13	PN.O.14
550	RNH	2	2	0	2				3	2202	12,11,1	PN.O.11	PN.O.12	PN.O.13	PN.O.14
553	GH	0	2	0				2		20		SH.O.11	SH.O.13	SH.O.14	
553	WH	0	0	0						0		SH.O.11	SH.O.13	SH.O.14	
553	OPH	0	0	0						0		SH.O.11	SH.O.13	SH.O.14	
