interview.id	grid.id	date	location	sps.known	confidence.indv	exp.indv	purpose.visit.24	purpose.visit.04	dist to grid	proportion.grid.24	frequency.visits.24	proportion.grid.04	frequency.visits.04	activity1.grid.24	activity2.grid.24	activity3.grid.24	activity1.grid.04	activity2.grid.04	activity3.grid.04	hunting.24	hunting.04	food trees	meat.eaten	body.parts	use.body.parts	season.hunting	gender.respondent	age.respondent	ethnicity.respondent	Comments	replicates
BH.O.271	112	27/11/25	boha	rnh,gh	2	16	potato farming	na	-	na	na	na	na	forest	potato farms	NA	NA	NA	NA	no	no	sanchar, brong shing se	na	na	na	na	m	36	monpa	NA	4
BH.O.272	112	27/11/25	boha	rnh,gh	2	25	timepass	community conflicts	-	01/02/26	3	01/02/26	9	forest	orange farms	NA	primary forest	NA	NA	no	no	sanchar, dhuna, lungkarma, pepper, brong shing se	no	no	no	no	m	41	monpa	NA	4
BH.O.273	112	27/11/25	boha	rnh,gh	2	20	road survey	protection from other tribes	-	01/02/26	2	01/02/26	3	forest	NA	NA	forest	jhum	NA	no	no	kar shing se, lam shing se, golo shing se, lung sing se	no	no	no	no	m	47	monpa	NA	4
BH.O.274	112	27/11/25	boha	rnh,gh	2	45	cow grazing	road survey	-	01/02/26	2	01/02/26	6	forest	NA	NA	forest	jhum	NA	no	no	kar shing se, lam shing se, golo shing se, lung sing se	no	no	no	no	m	47	monpa	NA	4
TP.O.11	116	12/12/26	tippi	gh,oph,rnh,wh	2	28	agriculture, mithun herding	agriculture, mithun herding	4	1	4	1	30	jhum	plantation	forest	jhum	plantation	forest	yes	yes	tokko, ficus	yes	beak, meat	casque used in pujari ritual alters, 5000/casque in Nagaland	NA	m	63	aka	NA	2
SS.O.11	116	12/12/26	sessa	gh,oph,rnh,wh	2	40	fishing, cane collection	fishing, cane collection	4	1	2	1	2	forest	NA	NA	forest	NA	NA	yes	yes	bonchum	NA	NA	NA	NA	m	52	nyishi	NA	2
SH.O.233	160	23/11/25	shergaon	rnh,gh	2	60	na	hunting	-	na	na	1	11	mixed primary forest, agriculture	pine	agriculture	mixed primary forest, agriculture	pine	NA	no	no	don't know	na	na	na	na	m	83	sherdutpen	NA	1
EF.O.11	166	10/12/25	Elephant Flat	gh, wh, oph, rnh	2	30	patrolling	hunting, leisure	1	1	24	1	30	plantation	forest	NA	forest	NA	NA	yes	yes	peepal, tokko, bonsom	yes	casque, beak	traditional attire	NA	m	40	Akka	nest near Sessum Jigri tree, used between 22-24	3
EF.O.12	166	10/12/25	Elephant Flat	gh, wh, oph, rnh	2	30	patrolling	hunting, leisure	1	1	24	1	30	plantation	forest	NA	forest	NA	NA	yes	yes	peepal, tokko, bonsom	yes	casque, beak	traditional attire	NA	m	40	Akka	nest near Sessum Jigri tree, used between 22-24	3
EF.O.13	166	10/12/25	Elephant Flat	gh, wh, oph, rnh	2	30	patrolling	hunting, leisure	1	1	24	1	30	plantation	forest	NA	forest	NA	NA	yes	yes	peepal, tokko, bonsom	yes	casque, beak	traditional attire	NA	m	40	Akka	nest near Sessum Jigri tree, used between 22-24	3
BP.O.1	168	12/12/25	bhalukpong	gh,wh,oph	2	7	patroling	na	1	1	3	na	na	protected area	restoration	NA	NA	NA	NA	no	yes	ficus, banderdima, khari	no	no	no	no	m	33	nyishi	NA	3
BP.O.2	168	12/12/25	bhalukpong	gh,wh,oph	2	30	patroling	patroling	1	01/04/26	24	01/04/26	24	protected area	restoration	NA	protected area	NA	NA	no	no	ficus, banderdima, khari	no	no	yes	no	m	45	nyishi	NA	3
BP.O.3	168	12/12/25	bhalukpong	gh,wh,oph	2	16	patroling	patroling	2	01/02/26	10	na	na	protected area	restoration	NA	NA	NA	NA	no	no	ficus, banderdima, khari	no	no	no	no	m	45	nyishi	NA	3
BP.O.1	169	12/12/25	bhalukpong	gh,wh,oph	2	7	patroling	na	2	01/02/26	3	na	na	protected area	restoration	NA	NA	NA	NA	no	no	ficus, banderdima, khari	no	no	no	no	m	33	nyishi	NA	4
BP.O.2	169	12/12/25	bhalukpong	gh,wh,oph	2	30	patroling	patroling	2	01/02/26	4	01/02/26	100	protected area	restoration	NA	protected area	NA	NA	no	no	ficus, banderdima, khari	no	no	no	no	m	45	assamese	NA	4
BP.O.3	169	12/12/25	bhalukpong	gh,wh,oph	2	16	patroling	patroling	2	01/02/26	10	na	na	protected area	restoration	NA	NA	NA	NA	no	no	ficus, banderdima, khari	no	no	no	no	m	45	nyishi	NA	4
