interview.id	grid.id	date	location	sps.known	confidence.indv	exp.indv	purpose.visit.24	purpose.visit.04	dist to grid	proportion.grid.24	frequency.visits.24	proportion.grid.04	frequency.visits.04	activity1.grid.24	activity2.grid.24	activity3.grid.24	activity1.grid.04	activity2.grid.04	activity3.grid.04	hunting.24	hunting.04	food trees	meat.eaten	body.parts	use.body.parts	season.hunting	gender.respondent	age.respondent	ethnicity.respondent	Comments	replicates
TM.O.14	438	23/2/26	tameng	rnh, gh	2	20	agriculture, mithun herding	agriculture, mithun herding	1	1	50	1	100	jhum	orange plantation	forest	jhum	orange plantation	forest	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	4
TM.O.11	439	23/2/26	tameng	rnh, gh	2	40	resident	resident	0	1	100	1	100	jhum	orange plantation	forest	jhum	orange plantation	forest	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	4
TM.O.12	439	23/2/26	tameng	rnh, gh	2	20	resident	resident	0	1	100	1	50	jhum	orange plantation	forest	jhum	orange plantation	forest	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	4
TM.O.13	439	23/2/26	tameng	rnh, gh	2	20	resident	resident	0	01/02/26	100	03/04/26	50	jhum	orange plantation	forest	jhum	orange plantation	forest	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	4
TM.O.14	439	23/2/26	tameng	rnh, gh	2	20	resident	resident	0	1	100	1	100	jhum	orange plantation	forest	jhum	orange plantation	forest	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	4
SG.O.11	486	13/1/26	sango	wh,rnh	2	40	hunting, mithun herding	hunting, mithun herding	0	03/04/26	4	03/04/26	4	jhum	forest department plantation	cardamom	jhum	forest department plantation	cardamom	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
SG.O.12	486	13/1/26	sango	wh,rnh	2	30	hunting, mithun herding	hunting, mithun herding	0	03/04/26	4	03/04/26	4	jhum	forest department plantation	cardamom	jhum	forest department plantation	cardamom	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
SG.O.21	486	13/1/26	sango	wh,rnh	2	40	hunting, mithun herding	hunting, mithun herding	0	03/04/26	2	1	4	jhum	forest department plantation	cardamom	jhum	forest department plantation	cardamom	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
SG.O.11	487	13/1/26	sango	wh,rnh	2	40	hunting, mithun herding	hunting, mithun herding	0	01/02/26	2	01/02/26	2	jhum	forest department plantation	cardamom	jhum	forest department plantation	cardamom	yes	yes	chiri, nakar, sanchar, jaago, tange, tak-lalan, tokko	NA	NA	NA	NA	m	60	nyishi	NA	3
SG.O.12	487	13/1/26	sango	wh,rnh	2	30	hunting, mithun herding	hunting, mithun herding	0	01/02/26	2	01/02/26	2	jhum	forest department plantation	cardamom	jhum	forest department plantation	cardamom	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
SG.O.21	487	13/1/26	sango	wh,rnh	2	40	hunting, mithun herding	hunting, mithun herding	0	03/04/26	2	1	4	jhum	forest department plantation	cardamom	jhum	forest department plantation	cardamom	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
LB.O.1	520	29/11/25	lubrang	none	2	40	yak herding	yak herding	0	1	100	1	100	yak herding	apple farm	NA	yak herding	apple farm	NA	no	no	na	na	no	no	no	m	60	monpa	NA	3
LB.O.2	520	29/11/25	lubrang	none	2	50	yak herding	yak herding	0	1	100	1	100	yak herding	apple farm	NA	yak herding	apple farm	NA	no	no	na	na	no	no	no	m	70	monpa	NA	3
LB.O.3	520	29/11/25	lubrang	none	2	50	yak herding	yak herding	0	1	100	1	100	yak herding	apple farm	NA	yak herding	apple farm	NA	no	no	na	na	no	no	no	m	71	monpa	NA	3
KH.O.1	528	02/12/25	Khellong	none	2	20	mithun herding	mithun herding	0	1	12	1	12	pine resin tapping	NA	NA	pine resin tapping	NA	NA	0	0	don't know	no	na	na	na	m	43	Shajalong	NA	4
KH.O.2	528	02/12/25	Khellong	rnh, oph	1	22	timepass	timepass	5	03/04/26	2	03/04/26	3	settled agriculture	NA	NA	settled agriculture	NA	NA	0	No	don't know	NA	NA	NA	NA	m	42	Shajalong	No hunting because low numbers	4
KH.O.3	528	02/12/25	Khellong	rnh, oph	2	30	mithun herding, timepass	mithun herding, timepass	0	1	50	na	na	pine resin tapping	jhum	NA	pine resin tapping	jhum	NA	NA	NA	don't know	NA	NA	NA	NA	m	52	Shajalong	No hunting because low numbers	4
NJ.O.1	528	02/12/25	Nijum	none	2	14	mithun herding	mithun herding	5	03/04/26	12	na	na	agriculture	jhum	wood collection	agriculture	jhum	wood collection	don't know	don't know	dalan, brugangi	na	na	na	na	m	32	Shajalong	dalan - wild avocado (hornbill may eat), Brugongi (check spelling pls) - red, small, round seed, similar to dabor	4
KH.O.1	529	02/12/25	Khellong	none	2	20	mithun herding	mithun herding	5	1	12	1	12	pine resin tapping	NA	NA	pine resin tapping	NA	NA	0	0	don't know	no	na	na	na	m	43	Shajalong	NA	4
KH.O.2	529	02/12/25	Khellong	rnh, oph	1	22	timepass	timepass	0	1	12	1	12	settled agriculture	NA	NA	settled agriculture	NA	NA	0	Yes	don't know	yes	beak	ritual, meat	opportunistic, out of breeding season	m	42	Shajalong	No hunting because low numbers	4
KH.O.3	529	02/12/25	Khellong	rnh, oph	2	30	mithun herding, timepass	mithun herding, timepass	5	1	24	1	30	pine resin tapping	jhum	NA	pine resin tapping	jhum	NA	no	no	don't know	na	na	na	na	m	52	Shajalong	No hunting because low numbers	4
NJ.O.1	529	02/12/25	Nijum	none	2	14	mithun herding	mithun herding	0	1	30	na	na	agriculture	jhum	wood collection	agriculture	jhum	wood collection	don't know	don't know	dalan, brugangi	na	na	na	na	m	32	Shajalong	NA	4
PN.O.11	550	22/2/26	peni	gh, wh, rnh	2	20	resident	resident	0	1	50	1	50	forest	cardamom plantation	jhum	forest	jhum	NA	no	no	NA	sanchar, rasa, tek lele, tanyak, leelu, rasa	casque	in traditional attire (pudum)	NA	m	40	nyishi	NA	4
PN.O.12	550	22/2/26	peni	gh, wh, rnh	2	40	resident	resident	0	1	50	1	50	forest	cardamom plantation	jhum	forest	jhum	NA	no	no	NA	NA	NA	NA	NA	m	60	nyishi	NA	4
PN.O.13	550	22/2/26	peni	gh, wh, rnh	2	26	resident	resident	0	1	50	1	50	forest	cardamom plantation	jhum	forest	jhum	NA	no	no	NA	NA	NA	NA	NA	m	46	nyishi	NA	4
PN.O.14	550	22/2/25	peni	gh, wh, rnh	2	60	resident	resident	0	1	50	1	50	forest	cardamom plantation	jhum	forest	jhum	NA	no	no	NA	NA	NA	NA	NA	m	80	nyishi	NA	4
SH.O.11	553	23/2/26	sher	gh, wh	2	40	resident	resident	0	1	4	1	50	jhum	forest	timber plantation	jhum	forest	orange plantation	yes	yes	teeta chapa, sanchar, bonsam, anga	y	beak, feathers	pudum	NA	m	60	nyishi	NA	4
SH.O.12	553	23/2/26	sher	gh, wh	2	60	resident	resident	0	na	na	1	50	jhum	forest	timber plantation	jhum	forest	orange plantation	yes	yes	NA	NA	NA	NA	NA	m	80	nyishi	NA	4
SH.O.13	553	23/2/26	sher	gh, wh	2	40	resident	resident	0	01/02/26	50	1	50	jhum	forest	timber plantation	jhum	forest	orange plantation	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	4
SH.O.14	553	23/2/26	sher	gh, wh	2	5	resident	resident	0	01/02/26	50	na	na	jhum	forest	timber plantation	jhum	forest	orange plantation	yes	yes	NA	NA	NA	NA	NA	m	25	nyishi	NA	4
SH.O.11	554	23/2/26	sher	gh, wh	2	40	resident	resident	0	1	4	1	50	jhum	forest	timber plantation	jhum	forest	orange plantation	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	4
SH.O.12	554	23/2/26	sher	gh, wh	2	60	resident	resident	0	na	na	1	50	jhum	forest	timber plantation	jhum	forest	orange plantation	yes	yes	NA	NA	NA	NA	NA	m	80	nyishi	NA	4
SH.O.13	554	23/2/26	sher	gh, wh	2	40	resident	resident	0	01/02/26	50	1	50	jhum	forest	timber plantation	jhum	forest	orange plantation	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	4
SH.O.14	554	23/2/26	sher	gh, wh	2	5	resident	resident	0	01/02/26	50	na	na	jhum	forest	timber plantation	jhum	forest	orange plantation	yes	yes	NA	NA	NA	NA	NA	m	25	nyishi	NA	4
PM.O.11	580	27/2/26	paimori	gh,rnh,oph	2	30	resident	resident	0	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	50	galo	NA	3
PM.O.12	580	27/2/26	paimori	gh,rnh,oph	2	35	resident	resident	0	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	55	galo	NA	3
PM.O.13	580	27/2/26	paimori	gh,rnh,oph	2	40	resident	resident	0	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	60	galo	NA	3
JC.O.1	584	03/12/25	Janaching	rnh, gh	2	30	jhum agriculture	mithun herding	0	1	24	1	24	forest	logging	elaichi farming	dhan	forest	logging	no	yes	talong (wild avocado)	yes	casque	traditions	not in breeding	m	50	Shajalong	NA	5
JC.O.2	584	03/12/25	Janaching	rnh, gh	2	40	logging, cane harvestm jhum	logging, cane harvestm jhum	0	1	6	0	0	logging	cane harvesting	jhum	logging	cane harvesting	jhum	no	yes	don't know	NA	NA	NA	NA	m	66	Shajalong	rnh - roost here but often seen flying in pairs	5
JC.O.3	584	03/12/25	Janaching	gh, wh, oph, rnh	2	10	agriculture	na	0	01/02/26	4	na	na	agriculture	NA	NA	na	na	na	yes	yes	don't know	NA	NA	NA	NA	m	25	Shajalong	NA	5
SK.O.1	584	03/12/25	Sekang	gh, rnh	2	30	mithun herding, hunting	mithun herding, hunting	16	03/04/26	150	03/04/26	100	primary forest	jhum	NA	primary forest	jhum	NA	yes	no	newbhew, bomchum, gyanre, talang	yes	female, beak	traditional decor, oil	jan, feb	m	50	shajalong	NA	5
SK.O.2	584	03/12/25	Sekang	gh, rnh	2	13	agriculture	na	16	01/02/26	1	na	na	primary forest	jhum	NA	na	na	NA	yes	no	talang (wild avocado)	NA	NA	NA	NA	m	27	puroik	NA	5
PC.O.1	643	07/01/26	pachi	wh,rnh,gh	2	25	agriculture, mithun herding	agriculture, mithun herding	0	1	30	1	40	forest	jhum	plantation	forest	jhum	plantation	yes	yes	laa(dhuna), sangkjya, panpu	NA	NA	NA	NA	m	45	nyishi	NA	3
PC.O.2	643	08/01/26	pachi	wh,rnh,gh	2	45	agriculture, mithun herding	agriculture, mithun herding	0	1	50	1	50	forest	jhum	plantation	forest	jhum	plantation	yes	yes	sankran, tanyak (khari), balum (lichipoma), lua	yes	gh beak used in pudum	NA	NA	m	75	nyishi	NA	3
PC.O.3	643	09/01/26	pachi	wh,rnh,gh	2	50	agriculture, mithun herding	agriculture, mithun herding	0	01/02/26	50	01/02/26	50	forest	jhum	plantation	forest	jhum	plantation	no	yes	kartan	NA	beak and feathers in pudum	20000 for gh beak, 5000 for wh beak, 10000 for rnh beak	NA	m	68	nyishi	NA	3
LR.O.12	652	21/1/26	lumri	gh, rnh	2	25	mithun herding, hunting	mithun herding, hunting	0	1	30	1	24	jhum	forest	NA	jhum	forest	NA	no	yes	NA	secher, tangi, gor jowai	NA	NA	NA	m	45	nyishi	NA	3
LR.O.13	652	21/1/26	lumri	gh, rnh	2	20	mithun herding, hunting	mithun herding, hunting	0	1	24	1	24	jhum	forest	NA	jhum	forest	NA	no	yes	NA	NA	NA	NA	NA	m	34	nyishi	NA	3
LR.O.14	652	21/1/26	lumri	gh, rnh	2	6	mithun herding, hunting	mithun herding, hunting	0	1	24	na	na	jhum	forest	NA	jhum	forest	NA	no	yes	NA	NA	NA	NA	NA	m	26	nyishi	NA	3
JH.O.11	653	20/1/26	jhat	gh, rnh	2	10	mithun herding, agriculture	mithun herding, agriculture	5	1	5	1	4	settled agriculture	NA	NA	settled agriculture	jhum	timber plantation	yes	yes	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
JH.O.12	653	20/1/26	jhat	gh, rnh	2	40	mithun herding, agriculture	mithun herding, agriculture	4	03/04/26	2	1	50	settled agriculture	NA	NA	settled agriculture	jhum	timber plantation	yes	yes	NA	NA	NA	NA	NA	m	44	nyishi	NA	3
LR.O.11	653	21/1/26	lumri	gh, rnh	2	35	mithun herding, hunting	mithun herding, hunting	0	1	5	1	10	jhum	forest	NA	forest	NA	NA	no	yes	NA	NA	NA	NA	NA	m	55	nyishi	NA	3
JH.O.11	654	20/1/26	jhat	gh, rnh	2	10	resident	resident	0	1	50	1	50	jhum	timber plantation	NA	jhum	timber plantation	NA	yes	yes	NA	NA	NA	NA	NA	m	31	nyishi	NA	3
JH.O.12	654	20/1/26	jhat	gh, rnh	2	40	resident	resident	0	1	50	1	50	jhum	timber plantation	NA	jhum	timber plantation	NA	yes	yes	NA	balam	NA	NA	NA	m	60	nyishi	NA	3
JH.O.13	654	20/1/26	jhat	gh, rnh	2	20	resident	resident	0	1	50	1	50	jhum	timber plantation	NA	jhum	timber plantation	NA	yes	yes	NA	NA	NA	NA	NA	m	44	nyishi	NA	3
KJ.O.1	693	03/12/25	Kojo	gh,rnh,oph	2	30	fruit harvest, jhum, mithun herding	fruit harvest, jhum, mithun herding	0	1	120	1	120	jhum	elaichi, corn farming	logging	jhum	corn farming	kodo	no	no	nuclei	NA	NA	NA	NA	m	36	puroik	NA	4
RJ.O.11	693	04/12/25	Rojo	gh,rnh,oph	2	15	agriculture, mithun herding	agriculture, mithun herding	0	1	6	1	300	jhum	logging	NA	jhum	logging	NA	no	no	Taneyak, Sanchar, Koso	yes	na	na	na	m	63	puroik	NA	4
RJ.O.12	693	04/12/25	Rojo	gh,rnh,oph	2	50	agriculture, mithun herding	agriculture, mithun herding	0	1	3	1	4	jhum	logging	NA	jhum	logging	NA	no	no	Taneyak, Sanchar, Koso	yes	na	na	na	m	40	puroik	NA	4
RJ.O.13	693	04/12/25	Rojo	gh,rnh,oph	2	15	agriculture, mithun herding	agriculture, mithun herding	0	01/02/26	10	01/02/26	10	jhum	logging	NA	jhum	logging	NA	no	no	Taneyak, Sanchar, Koso	yes	na	na	na	m	60	Nyishi	NA	4
KB.O.11	717	24/2/26	karobukar paro	gh, wh, oph	2	20	agriculture, mithun herding	agriculture, mithun herding	NA	01/02/26	50	01/02/26	50	jhum	logging	forest	jhum	logging	forest	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
KB.O.12	717	24/2/26	karobukar paro	gh, wh, oph	2	30	agriculture, mithun herding	agriculture, mithun herding	NA	01/02/26	50	01/02/26	50	jhum	logging	forest	jhum	logging	forest	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
KB.O.13	717	24/2/26	karobukar paro	gh, wh, oph	2	50	agriculture, mithun herding	agriculture, mithun herding	0	1	50	1	50	jhum	logging	forest	jhum	logging	forest	yes	yes	NA	NA	NA	NA	NA	m	70	nyishi	NA	3
KB.O.11	718	24/2/26	karobukar paro	gh, wh, oph	2	20	resident	resident	NA	01/02/26	50	01/02/26	50	jhum	logging	forest	jhum	logging	forest	yes	yes	tamak, shirikin	NA	NA	NA	NA	m	40	nyishi	NA	3
KB.O.12	718	24/2/26	karobukar paro	gh, wh, oph	2	30	resident	resident	NA	01/02/26	50	01/02/26	50	jhum	logging	forest	jhum	logging	forest	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
KB.O.13	718	24/2/26	karobukar paro	gh, wh, oph	2	50	resident	resident	NA	1	50	1	50	jhum	logging	forest	jhum	logging	forest	yes	yes	NA	NA	NA	NA	NA	m	70	nyishi	NA	3
WI.O.1	752	10/01/26	waii	wh,rnh,gh	2	20	agriculture, mithun herding, hunting	agriculture, mithun herding, hunting	4	1	6	1	4	forest	hunting	NA	forest	hunting	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
WI.O.2	752	10/01/26	waii	wh,rnh,gh	2	24	agriculture, mithun herding, hunting	agriculture, mithun herding, hunting	4	1	6	1	6	forest	hunting	NA	forest	hunting	NA	yes	yes	NA	NA	NA	NA	NA	m	44	nyishi	NA	3
WI.O.3	752	10/01/26	waii	wh,rnh,gh	2	30	agriculture, mithun herding, hunting	agriculture, mithun herding, hunting	4	1	24	1	24	forest	hunting	NA	forest	hunting	NA	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
KB.O.11	775	24/2/26	karobukar paro	gh, wh, oph	2	20	resident	resident	0	01/02/26	50	01/02/26	50	jhum	logging	forest	jhum	logging	forest	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	4
KB.O.12	775	24/2/26	karobukar paro	gh, wh, oph	2	30	resident	resident	0	01/02/26	50	01/02/26	50	jhum	logging	forest	jhum	logging	forest	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	4
KB.O.13	775	24/2/26	karobukar paro	gh, wh, oph	2	50	resident	resident	0	1	50	1	50	jhum	logging	forest	jhum	logging	forest	yes	yes	NA	NA	NA	NA	NA	m	70	nyishi	NA	4
KB.O.14	775	24/2/26	karobukar paro	gh, wh, oph	2	20	resident	resident	0	1	50	1	50	jhum	logging	forest	jhum	logging	forest	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	4
TM.O.11	782	26/2/26	tatamori	gh,rnh,oph	2	40	resident	resident	0	1	100	1	100	jhum	forest	logging	jhum	forest	logging	no	yes	tokko, hilpoma(kunyik), rwbab	yes	NA	NA	NA	m	60	galo	NA	3
TM.O.12	782	26/2/26	tatamori	gh,rnh,oph	2	40	resident	resident	0	1	100	1	100	jhum	forest	logging	jhum	forest	logging	no	yes	NA	NA	NA	NA	NA	m	60	galo	NA	3
TM.O.13	782	26/2/26	tatamori	gh,rnh,oph	2	40	resident	resident	0	1	100	1	100	jhum	forest	logging	jhum	forest	logging	no	yes	NA	NA	NA	NA	NA	m	60	galo	NA	3
TM.O.11	783	26/2/26	tatamori	gh,rnh,oph	2	40	resident	resident	0	1	100	1	100	jhum	forest	logging	jhum	forest	logging	no	yes	NA	NA	NA	NA	NA	m	60	galo	NA	3
TM.O.12	783	26/2/26	tatamori	gh,rnh,oph	2	40	resident	resident	0	1	100	1	100	jhum	forest	logging	jhum	forest	logging	no	yes	NA	NA	NA	NA	NA	m	60	galo	NA	3
TM.O.13	783	26/2/26	tatamori	gh,rnh,oph	2	40	resident	resident	0	1	100	1	100	jhum	forest	logging	jhum	forest	logging	no	yes	NA	NA	NA	NA	NA	m	60	galo	NA	3
WI.O.1	804	10/01/26	waii	wh,rnh,gh	2	20	agriculture, mithun herding, hunting	agriculture, mithun herding, hunting	0	1	30	1	30	forest	hunting	NA	forest	hunting	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
WI.O.2	804	10/01/26	waii	wh,rnh,gh	2	24	agriculture, mithun herding, hunting	agriculture, mithun herding, hunting	0	1	30	1	30	forest	hunting	NA	forest	hunting	NA	yes	yes	NA	NA	NA	NA	NA	m	44	nyishi	NA	3
WI.O.3	804	10/01/26	waii	wh,rnh,gh	2	30	agriculture, mithun herding, hunting	agriculture, mithun herding, hunting	0	1	30	1	30	forest	hunting	NA	forest	hunting	NA	yes	yes	NA	NA	NA	NA	NA	m	50	nyishi	NA	3
TR.O.11	814	16/1/26	tassar	gh,rnh	2	21	mithun herding, agriculture	mithun herding, agriculture	4	03/04/26	4	1	4	forest	jhum	forest	NA	NA	NA	no	no	sangum, sanchar, janachar	NA	NA	NA	NA	m	70	nyishi	NA	4
TR.O.12	814	16/1/26	tassar	gh,rnh	2	40	mithun herding, agriculture	mithun herding, agriculture	4	03/04/26	4	1	4	forest	jhum	forest	NA	NA	NA	no	no	NA	NA	NA	NA	NA	m	41	nyishi	NA	4
TR.O.21	814	21/1/26	tassar	gh, rnh	2	57	mithun herding	mithun herding	1	1	12	1	12	forest	NA	NA	forest	NA	NA	yes	yes	NA	NA	NA	NA	NA	m	77	nyishi	NA	4
TR.O.22	814	21/1/26	tassar	gh, rnh	1	20	mithun herding	mithun herding	1	1	30	1	30	forest	NA	NA	forest	NA	NA	yes	yes	NA	NA	NA	NA	NA	m	37	nyishi	NA	4
WI.O.1	863	10/01/26	waii	wh,rnh,gh	2	20	agriculture, mithun herding, hunting	agriculture, mithun herding, hunting	4	1	6	1	4	forest	hunting	NA	forest	hunting	NA	yes	yes	jnachar, rangpo, tangek, sanchar	NA	rnh beak	rnh beak used in rituals	NA	m	40	nyishi	NA	2
WI.O.2	863	10/01/26	waii	wh,rnh,gh	2	24	agriculture, mithun herding, hunting	agriculture, mithun herding, hunting	4	1	6	1	6	forest	hunting	NA	forest	hunting	NA	yes	yes	NA	NA	NA	NA	NA	m	44	nyishi	NA	2
TR.O.11	875	16/1/26	tassar	gh,rnh	2	21	mithun herding, agriculture	mithun herding, agriculture	0	1	50	1	50	forest	jhum	forest	NA	NA	NA	no	no	NA	NA	NA	NA	NA	m	70	nyishi	NA	3
TR.O.12	875	16/1/26	tassar	gh,rnh	2	40	mithun herding, agriculture	mithun herding, agriculture	0	1	50	1	50	forest	jhum	forest	NA	NA	NA	no	no	NA	NA	NA	NA	NA	m	41	nyishi	NA	3
TR.O.13	875	16/1/26	tassar	gh,rnh	2	40	mithun herding, agriculture	mithun herding, agriculture	2	1	50	1	50	forest	jhum	forest	NA	NA	NA	no	no	NA	NA	NA	NA	NA	m	60	nyishi	NA	3
LY.O.11	878	31/2/25	linya	gh, rnh	2	45	patroling, agriculture, mithun herding	patroling, agriculture, mithun herding	2	1	50	1	50	logging	forest	agriculture	logging	forest	agriculture	yes	yes	NA	NA	NA	NA	NA	m	65	nyishi	NA	3
LY.O.12	878	31/2/25	linya	gh, rnh	2	32	patroling, agriculture, mithun herding	patroling, agriculture, mithun herding	2	1	30	1	30	logging	forest	agriculture	logging	forest	agriculture	yes	yes	NA	NA	NA	NA	NA	m	52	nyishi	NA	3
LY.O.2	878	01/02/26	linya	gh,rnh	2	35	patroling, agriculture, mithun herding	hunt, agriculture, mithun herding	2	03/04/26	12	03/04/26	4	logging	forest	agriculture	logging	forest	agriculture	yes	yes	NA	NA	NA	NA	NA	m	55	nyishi	NA	3
LY.O.11	936	31/2/25	linya	gh, rnh	2	45	patroling, agriculture, mithun herding	patroling, agriculture, mithun herding	0	1	30	1	30	jhum	logging	agriculture	jhum	logging	agriculture	yes	yes	tatung, sanchar, sangum, tangik	NA	NA	NA	NA	m	65	nyishi	NA	3
LY.O.12	936	31/2/25	linya	gh, rnh	2	32	patroling, agriculture, mithun herding	patroling, agriculture, mithun herding	0	1	30	1	30	jhum	logging	agriculture	jhum	logging	agriculture	yes	yes	NA	NA	NA	NA	NA	m	52	nyishi	NA	3
LY.O.2	936	01/02/26	linya	gh,rnh	2	35	patroling, agriculture, mithun herding	hunt, agriculture, mithun herding	0	1	12	1	24	jhum	logging	agriculture	jhum	logging	agriculture	yes	yes	NA	NA	NA	NA	NA	m	55	nyishi	NA	3
ST.O.11	981	19/1/26	sangte	rnh	2	60	mithun herding, agriculture	mithun herding, agriculture	0	1	50	1	50	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	80	nyishi	NA	3
ST.O.12	981	19/1/26	sangte	rnh	2	20	mithun herding, agriculture	mithun herding, agriculture	0	1	50	1	50	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	38	nyishi	NA	3
ST.O.13	981	19/1/26	sangte	rnh	2	20	mithun herding, agriculture	mithun herding, agriculture	0	1	50	1	50	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
ST.O.11	982	19/1/26	sangte	rnh	2	60	mithun herding, agriculture	mithun herding, agriculture	1	03/04/26	50	03/04/26	50	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	80	nyishi	NA	3
ST.O.12	982	19/1/26	sangte	rnh	2	20	mithun herding, agriculture	mithun herding, agriculture	1	03/04/26	50	03/04/26	50	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	38	nyishi	NA	3
ST.O.13	982	19/1/26	sangte	rnh	2	20	mithun herding, agriculture	mithun herding, agriculture	1	03/04/26	50	03/04/26	50	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
LY.O.11	993	31/2/25	linya	gh, rnh	2	45	patroling, agriculture, mithun herding	patroling, agriculture, mithun herding	1	1	3	1	12	logging	forest	NA	logging	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	65	nyishi	NA	3
LY.O.12	993	31/2/25	linya	gh, rnh	2	32	patroling, agriculture, mithun herding	patroling, agriculture, mithun herding	1	1	12	1	10	logging	forest	NA	logging	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	52	nyishi	NA	3
LY.O.2	993	01/02/26	linya	gh,rnh	2	35	patroling, agriculture, mithun herding	hunt, agriculture, mithun herding	1	1	12	03/04/26	2	logging	forest	NA	logging	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	55	nyishi	NA	3
PM.O.11	1116	27/2/26	paimori	gh,rnh,oph	2	30	agriculture, mithun herding	agriculture, mithun herding	1	1	5	1	5	jhum	forest	NA	jhum	forest	NA	yes	yes	tayak (toko), tatu, gunyak	NA	NA	NA	NA	m	50	galo	NA	3
PM.O.12	1116	27/2/26	paimori	gh,rnh,oph	2	35	agriculture, mithun herding	agriculture, mithun herding	1	1	7	1	10	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	55	galo	NA	3
PM.O.13	1116	27/2/26	paimori	gh,rnh,oph	2	40	agriculture, mithun herding	agriculture, mithun herding	1	1	10	1	50	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	60	galo	NA	3
BT.O.11	1120	25/2/26	bomte	gh,rnh,oph	2	20	resident	resident	0	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	pake, balam, seycher, satum-nelam	yes	beak of RNH	in galo marriage dance by the groom	NA	m	40	galo	NA	3
BT.O.12	1120	25/2/26	bomte	gh,rnh,oph	2	25	resident	resident	0	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	45	galo	NA	3
BT.O.13	1120	25/2/26	bomte	gh,rnh,oph	2	30	resident	resident	0	1	100	1	100	jhum	forest	NA	jhum	forest	NA	yes	yes	NA	NA	NA	NA	NA	m	50	galo	NA	3
GT.O.11	1165	02/02/26	gangte	rnh	2	45	agriculture, mithun herding	agriculture, mithun herding	0	1	12	03/04/26	2	forest	NA	NA	forest	NA	NA	no	yes	tanyak, gumpyam, santor, sanchar	NA	NA	NA	NA	m	65	nyishi	NA	3
GT.O.12	1165	02/02/26	gangte	rnh	2	50	agriculture, mithun herding	agriculture, mithun herding	0	1	4	1	5	forest	NA	NA	forest	NA	NA	no	yes	NA	NA	NA	NA	NA	m	70	nyishi	NA	3
GT.O.13	1165	02/02/26	gangte	rnh	2	20	agriculture, mithun herding	agriculture, mithun herding	0	1	12	1	12	forest	NA	NA	forest	NA	NA	no	yes	NA	NA	NA	NA	NA	m	40	nyishi	NA	3
GT.O.11	1166	02/02/26	gangte	rnh	2	45	agriculture, mithun herding	agriculture, mithun herding	1	1	15	1	10	forest	jhum	NA	forest	jhum	NA	no	yes	NA	NA	NA	NA	NA	m	65	nyishi	NA	3
