"grid.id"	"species"	"X1"	"X2"	"X3"	"X4"
"157"	553	"GH"	0	2	0	NA
"158"	553	"WH"	0	0	0	NA
"159"	553	"OPH"	0	0	0	NA
"160"	553	"RNH"	0	0	0	NA
"161"	554	"GH"	0	0	0	NA
"162"	554	"WH"	0	0	0	NA
"163"	554	"OPH"	0	0	0	NA
"164"	554	"RNH"	0	0	0	NA
"165"	580	"GH"	2	2	2	NA
"166"	580	"WH"	0	0	0	NA
"167"	580	"OPH"	2	2	2	NA
"168"	580	"RNH"	2	2	2	NA
"169"	584	"GH"	0	0	0	NA
"170"	584	"RNH"	2	2	0	NA
"171"	584	"WH"	0	0	0	NA
"172"	584	"OPH"	0	0	0	NA
"173"	643	"GH"	0	0	0	NA
"174"	643	"WH"	0	0	0	NA
"175"	643	"OPH"	0	0	0	NA
"176"	643	"RNH"	0	0	0	NA
"177"	652	"GH"	0	0	0	NA
"178"	652	"WH"	2	0	0	NA
"179"	652	"OPH"	0	0	0	NA
"180"	652	"RNH"	0	0	0	NA
"181"	653	"GH"	0	0	0	NA
"182"	653	"WH"	0	0	0	NA
"183"	653	"OPH"	0	0	0	NA
"184"	653	"RNH"	0	0	0	NA
"185"	654	"GH"	0	0	0	NA
"186"	654	"WH"	0	0	0	NA
"187"	654	"OPH"	0	0	0	NA
"188"	654	"RNH"	0	0	0	NA
"189"	693	"RNH"	0	0	0	NA
"190"	693	"GH"	0	0	0	NA
"191"	693	"WH"	0	0	0	NA
"192"	693	"OPH"	0	0	0	NA
"193"	717	"GH"	0	0	0	NA
"194"	717	"WH"	0	0	0	NA
"195"	717	"OPH"	0	2	0	NA
"196"	717	"RNH"	0	0	0	NA
"197"	718	"GH"	2	0	0	NA
"198"	718	"WH"	0	0	0	NA
"199"	718	"OPH"	0	0	0	NA
"200"	718	"RNH"	0	0	0	NA
"201"	752	"GH"	0	0	0	NA
"202"	752	"WH"	0	0	0	NA
"203"	752	"OPH"	0	0	0	NA
"204"	752	"RNH"	0	0	0	NA
"205"	775	"GH"	2	2	2	2
"206"	775	"WH"	0	0	2	2
"207"	775	"OPH"	0	2	2	2
"208"	775	"RNH"	0	0	0	0
"209"	782	"GH"	0	0	0	NA
"210"	782	"WH"	0	0	0	NA
"211"	782	"OPH"	0	0	0	NA
"212"	782	"RNH"	0	0	0	NA
"213"	783	"GH"	0	0	0	NA
"214"	783	"WH"	0	0	0	NA
"215"	783	"OPH"	0	0	0	NA
"216"	783	"RNH"	2	0	0	NA
"217"	804	"GH"	0	0	0	NA
"218"	804	"WH"	0	0	0	NA
"219"	804	"OPH"	0	0	0	NA
"220"	804	"RNH"	2	2	0	NA
"221"	814	"GH"	0	0	2	NA
"222"	814	"WH"	0	0	0	NA
"223"	814	"OPH"	0	0	0	NA
"224"	814	"RNH"	0	0	0	NA
"225"	825	"GH"	2	2	2	NA
"226"	825	"WH"	2	2	2	NA
"227"	825	"OPH"	0	2	2	NA
"228"	825	"RNH"	0	2	0	NA
"229"	875	"GH"	0	0	0	NA
"230"	875	"WH"	0	0	0	NA
"231"	875	"OPH"	0	0	0	NA
"232"	875	"RNH"	0	0	2	NA
"233"	878	"GH"	0	0	0	NA
"234"	878	"WH"	0	0	0	NA
"235"	878	"OPH"	0	0	0	NA
"236"	878	"RNH"	0	0	0	NA
"237"	936	"GH"	0	0	2	NA
"238"	936	"WH"	0	0	0	NA
"239"	936	"OPH"	0	0	0	NA
"240"	936	"RNH"	2	2	0	NA
"241"	981	"GH"	0	0	0	NA
"242"	981	"WH"	0	0	0	NA
"243"	981	"OPH"	0	0	0	NA
"244"	981	"RNH"	0	0	0	NA
"245"	982	"GH"	0	0	0	NA
"246"	982	"WH"	0	0	0	NA
"247"	982	"OPH"	0	0	0	NA
"248"	982	"RNH"	0	0	0	NA
"249"	993	"GH"	0	0	0	NA
"250"	993	"WH"	0	0	0	NA
"251"	993	"OPH"	0	0	0	NA
"252"	993	"RNH"	0	0	0	NA
"253"	1116	"GH"	0	0	0	NA
"254"	1116	"WH"	0	0	0	NA
"255"	1116	"OPH"	2	0	2	NA
"256"	1116	"RNH"	2	2	2	NA
"257"	1120	"GH"	2	2	2	NA
"258"	1120	"WH"	0	0	0	NA
"259"	1120	"OPH"	0	0	0	NA
"260"	1120	"RNH"	2	2	2	NA
"261"	1165	"GH"	0	0	0	NA
"262"	1165	"WH"	0	0	0	NA
"263"	1165	"OPH"	0	0	0	NA
"264"	1165	"RNH"	0	0	0	NA
"265"	1166	"GH"	0	0	0	NA
"266"	1166	"WH"	0	0	0	NA
"267"	1166	"OPH"	0	0	0	NA
"268"	1166	"RNH"	0	0	0	NA
"269"	1167	"GH"	0	0	0	NA
"270"	1167	"WH"	0	0	0	NA
"271"	1167	"OPH"	0	0	0	NA
"272"	1167	"RNH"	0	2	0	NA
"273"	1180	"GH"	2	0	2	NA
"274"	1180	"WH"	0	0	0	NA
