interview.id	grid.id	date	location	sps.known	confidence.indv	exp.indv	purpose.visit.24	purpose.visit.04	dist.to.grid	proportion.grid.24	frequency.visits.24	proportion.grid.04	frequency.visits.04	activity1.grid.24	activity2.grid.24	activity3.grid.24	activity1.grid.04	activity2.grid.04	activity3.grid.04	hunting.24	hunting.04	food.trees	meat.eaten	body.parts	use.body.parts	season.hunting	gender.respondent	age.respondent	ethnicity.respondent	Comments	replicates	road_length	mean_elev	elev_band	canopy_height	slope	aspect	geometry
BH.O.273	112	27/11/25	boha	rnh,gh	2	20	road survey	protection from other tribes	-	01/02/26	2	01/02/26	3	forest	NA	NA	forest	jhum	NA	no	no	kar shing se, lam shing se, golo shing se, lung sing se	no	no	no	no	m	47	monpa	NA	4	809.189497435793	1445.19863787584	1000-2000m	34.00841758703621	32.01144800512864	225.6159874725678	list(c(92.1616078019924, 92.1612727476734, 92.2116780870258, 92.2119930143834, 92.1616078019924, 26.9881925118589, 27.0333305624395, 27.0336219344156, 26.9884833195586, 26.9881925118589))
BH.O.274	112	27/11/25	boha	rnh,gh	2	45	cow grazing	road survey	-	01/02/26	2	01/02/26	6	forest	NA	NA	forest	jhum	NA	no	no	kar shing se, lam shing se, golo shing se, lung sing se	no	no	no	no	m	47	monpa	NA	4	809.189497435793	1445.19863787584	1000-2000m	34.00841758703621	32.01144800512864	225.6159874725678	list(c(92.1616078019924, 92.1612727476734, 92.2116780870258, 92.2119930143834, 92.1616078019924, 26.9881925118589, 27.0333305624395, 27.0336219344156, 26.9884833195586, 26.9881925118589))
EF.O.11	166	10/12/25	Elephant Flat	gh, wh, oph, rnh	2	30	patrolling	hunting, leisure	1	1	24	1	30	plantation	forest	NA	forest	NA	NA	yes	yes	peepal, tokko, bonsom	yes	casque, beak	traditional attire	NA	m	40	Akka	nest near Sessum Jigri tree, used between 22-24	3	0	971.031865422427	0-1000m	30.247631746537177	28.409705998737707	146.36262880729984	list(c(92.5141239880162, 92.5139293906944, 92.5643590922253, 92.5645335081606, 92.5141239880162, 27.0349911648666, 27.0801321405427, 27.0802974910242, 27.0351561954889, 27.0349911648666))
EF.O.12	166	10/12/25	Elephant Flat	gh, wh, oph, rnh	2	30	patrolling	hunting, leisure	1	1	24	1	30	plantation	forest	NA	forest	NA	NA	yes	yes	peepal, tokko, bonsom	yes	casque, beak	traditional attire	NA	m	40	Akka	nest near Sessum Jigri tree, used between 22-24	3	0	971.031865422427	0-1000m	30.247631746537177	28.409705998737707	146.36262880729984	list(c(92.5141239880162, 92.5139293906944, 92.5643590922253, 92.5645335081606, 92.5141239880162, 27.0349911648666, 27.0801321405427, 27.0802974910242, 27.0351561954889, 27.0349911648666))
EF.O.13	166	10/12/25	Elephant Flat	gh, wh, oph, rnh	2	30	patrolling	hunting, leisure	1	1	24	1	30	plantation	forest	NA	forest	NA	NA	yes	yes	peepal, tokko, bonsom	yes	casque, beak	traditional attire	NA	m	40	Akka	nest near Sessum Jigri tree, used between 22-24	3	0	971.031865422427	0-1000m	30.247631746537177	28.409705998737707	146.36262880729984	list(c(92.5141239880162, 92.5139293906944, 92.5643590922253, 92.5645335081606, 92.5141239880162, 27.0349911648666, 27.0801321405427, 27.0802974910242, 27.0351561954889, 27.0349911648666))
BP.O.1	168	12/12/25	bhalukpong	gh,wh,oph	2	7	patroling	na	1	1	3	na	na	protected area	restoration	NA	NA	NA	NA	no	yes	ficus, banderdima, khari	no	no	no	no	m	33	nyishi	NA	3	0	523.129789590255	0-1000m	25.13061324489673	21.50779537231783	164.43303562619954	list(c(92.6149434366138, 92.614789202769, 92.6652196749991, 92.665353726131, 92.6149434366138, 27.0353031744936, 27.0804447549016, 27.0805739316526, 27.0354321013596, 27.0353031744936))
BP.O.2	168	12/12/25	bhalukpong	gh,wh,oph	2	30	patroling	patroling	1	01/04/26	24	01/04/26	24	protected area	restoration	NA	protected area	NA	NA	no	no	ficus, banderdima, khari	no	no	yes	no	m	45	nyishi	NA	3	0	523.129789590255	0-1000m	25.13061324489673	21.50779537231783	164.43303562619954	list(c(92.6149434366138, 92.614789202769, 92.6652196749991, 92.665353726131, 92.6149434366138, 27.0353031744936, 27.0804447549016, 27.0805739316526, 27.0354321013596, 27.0353031744936))
BP.O.3	168	12/12/25	bhalukpong	gh,wh,oph	2	16	patroling	patroling	2	01/02/26	10	na	na	protected area	restoration	NA	NA	NA	NA	no	no	ficus, banderdima, khari	no	no	no	no	m	45	nyishi	NA	3	0	523.129789590255	0-1000m	25.13061324489673	21.50779537231783	164.43303562619954	list(c(92.6149434366138, 92.614789202769, 92.6652196749991, 92.665353726131, 92.6149434366138, 27.0353031744936, 27.0804447549016, 27.0805739316526, 27.0354321013596, 27.0353031744936))
BP.O.1	169	12/12/25	bhalukpong	gh,wh,oph	2	7	patroling	na	2	01/02/26	3	na	na	protected area	restoration	NA	NA	NA	NA	no	no	ficus, banderdima, khari	no	no	no	no	m	33	nyishi	NA	4	0	302.939675682444	0-1000m	27.435335401981504	14.24204595021381	178.87325481801363	list(c(92.665353726131, 92.6652196749991, 92.7156504615872, 92.7157643294654, 92.665353726131, 27.0354321013596, 27.0805739316526, 27.0806850208187, 27.0355429756297, 27.0354321013596))
BP.O.2	169	12/12/25	bhalukpong	gh,wh,oph	2	30	patroling	patroling	2	01/02/26	4	01/02/26	100	protected area	restoration	NA	protected area	NA	NA	no	no	ficus, banderdima, khari	no	no	no	no	m	45	assamese	NA	4	0	302.939675682444	0-1000m	27.435335401981504	14.24204595021381	178.87325481801363	list(c(92.665353726131, 92.6652196749991, 92.7156504615872, 92.7157643294654, 92.665353726131, 27.0354321013596, 27.0805739316526, 27.0806850208187, 27.0355429756297, 27.0354321013596))
