grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4	det.hist
213	OPH	0	0	0	NA	NA	NA	NA	NA	NA	SH.O.241	SH.O.231	SH.O.4	NA	000
213	RNH	0	0	0	NA	0	0	0	NA	NA	SH.O.241	SH.O.231	SH.O.4	NA	000
216	RNH	0	0	0	NA	0	0	0	NA	0	SC.O.11	SC.O.12	SC.O.13	NA	000
216	GH	0	0	0	NA	0	0	0	NA	0	SC.O.11	SC.O.12	SC.O.13	NA	000
216	WH	0	0	0	NA	0	0	0	NA	0	SC.O.11	SC.O.12	SC.O.13	NA	000
216	OPH	0	0	0	NA	NA	NA	NA	NA	NA	SC.O.11	SC.O.12	SC.O.13	NA	000
264	GH	2	0	0	0	2	0	0	NA	8	SH.O.231	SH.O.233	SH.O.4	SH.O.241	2000
264	WH	0	0	0	0	NA	NA	NA	NA	NA	SH.O.231	SH.O.233	SH.O.4	SH.O.241	0000
264	OPH	0	0	0	0	NA	NA	NA	NA	NA	SH.O.231	SH.O.233	SH.O.4	SH.O.241	0000
264	RNH	0	0	0	0	0	0	0	NA	NA	SH.O.231	SH.O.233	SH.O.4	SH.O.241	0000
271	GH	2	2	2	NA	NA	NA	9	NA	yearround	KM.O.11	KM.O.12	KM.O.13	NA	222
271	WH	0	0	0	NA	NA	NA	NA	NA	NA	KM.O.11	KM.O.12	KM.O.13	NA	000
271	OPH	0	0	2	NA	NA	NA	NA	NA	NA	KM.O.11	KM.O.12	KM.O.13	NA	002
271	RNH	0	0	0	NA	NA	NA	NA	NA	NA	KM.O.11	KM.O.12	KM.O.13	NA	000
272	GH	2	2	2	NA	NA	NA	NA	NA	yearround	KM.O.11	KM.O.12	KM.O.13	NA	222
272	WH	0	0	0	NA	NA	NA	NA	NA	NA	KM.O.11	KM.O.12	KM.O.13	NA	000
272	OPH	2	2	2	NA	NA	NA	12	NA	NA	KM.O.11	KM.O.12	KM.O.13	NA	222
272	RNH	0	0	0	NA	NA	NA	NA	NA	NA	KM.O.11	KM.O.12	KM.O.13	NA	000
280	GH	0	0	0	NA	NA	NA	NA	NA	NA	PK.O.51	PK.O.52	PK.O.53	NA	000
280	WH	0	0	0	NA	NA	NA	NA	NA	NA	PK.O.51	PK.O.52	PK.O.53	NA	000
280	OPH	0	0	0	NA	NA	NA	NA	NA	NA	PK.O.51	PK.O.52	PK.O.53	NA	000
280	RNH	2	2	1	NA	NA	NA	6	NA	11,12,1,2	PK.O.51	PK.O.52	PK.O.53	NA	221
282	GH	0	0	0	NA	NA	NA	NA	NA	NA	PK.O.11	PK.O.12	PK.O.13	NA	000
282	WH	2	0	0	NA	NA	NA	6	NA	NA	PK.O.11	PK.O.12	PK.O.13	NA	200
282	OPH	0	0	0	NA	NA	NA	NA	NA	NA	PK.O.11	PK.O.12	PK.O.13	NA	000
282	RNH	2	2	2	NA	NA	NA	3	NA	NA	PK.O.11	PK.O.12	PK.O.13	NA	222
320	GH	2	2	2	NA	NA	NA	4	NA	yearround	KM.O.21	KM.O.22	KM.O.23	NA	222
320	WH	0	0	0	NA	NA	NA	NA	NA	NA	KM.O.21	KM.O.22	KM.O.23	NA	000
320	OPH	0	0	0	NA	NA	NA	NA	NA	NA	KM.O.21	KM.O.22	KM.O.23	NA	000
320	RNH	2	2	0	NA	NA	NA	10	NA	yearround	KM.O.21	KM.O.22	KM.O.23	NA	220
339	GH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
339	WH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
339	OPH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
339	RNH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
340	GH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
340	WH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
340	OPH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
340	RNH	0	0	0	NA	NA	NA	NA	NA	NA	TR.O.11	TR.O.12	TR.O.13	NA	000
341	GH	0	0	0	NA	NA	NA	NA	NA	NA	SM.O.11	SM.O.12	SM.O.13	NA	000
341	WH	0	2	0	NA	NA	NA	NA	NA	11,12,1	SM.O.11	SM.O.12	SM.O.13	NA	020
341	OPH	0	2	0	NA	NA	NA	NA	NA	11,12,1	SM.O.11	SM.O.12	SM.O.13	NA	020
