"interview.id"	"grid.id"	"date"	"location"	"sps.known"	"confidence.indv"	"exp.indv"	"purpose.visit.24"	"purpose.visit.04"	"dist.to.grid"	"proportion.grid.24"	"frequency.visits.24"	"proportion.grid.04"	"frequency.visits.04"	"activity1.grid.24"	"activity2.grid.24"	"activity3.grid.24"	"activity1.grid.04"	"activity2.grid.04"	"activity3.grid.04"	"hunting.24"	"hunting.04"	"food.trees"	"meat.eaten"	"body.parts"	"use.body.parts"	"season.hunting"	"gender.respondent"	"age.respondent"	"ethnicity.respondent"	"Comments"	"replicates"	"road_length"	"mean_elev"	"elev_band"	"geometry"
"11"	"DG.O.3"	84	"16/11/25"	"darlong"	"gh,wh,oph,rnh"	2	30	"agriculture"	"forage"	"4"	"1"	"30"	"1"	"30"	"agriculture"	"logging"	NA	"jhum"	"logging"	NA	"yes"	"yes"	"khari, ficus, lisia, amsilin, ramtamool, boromtri, sanchar, toko"	"yes"	"tail"	"meat,trophy, therapeutic oil"	"7,8,9"	"m"	41	"nyishi"	NA	3	3445.5156226583	304.597609313068	"0-1000m"	"list(c(93.0182175, 93.0182247, 93.068616, 93.0685887, 93.0182175, 26.945543, 26.9906862, 26.9906707, 26.9455276, 26.945543))"
"12"	"DG.O.5"	84	"19/11/25"	"darlong"	"gh,wh,oph,rnh"	2	30	"random"	"forage"	"8"	"01/02/26"	"3"	"01/02/26"	"3"	"agriculture"	"reserve forest"	NA	"plantation"	"timber"	NA	"no"	"yes"	"no idea"	"yes"	"beak; tail"	"meat, ritual, export"	"7,8,9"	"m"	42	"nyishi"	NA	3	3445.5156226583	304.597609313068	"0-1000m"	"list(c(93.0182175, 93.0182247, 93.068616, 93.0685887, 93.0182175, 26.945543, 26.9906862, 26.9906707, 26.9455276, 26.945543))"
"13"	"BJ.O.11"	92	"20/2/26"	"balijan"	"gh,rnh,oph,wh"	2	20	"agriculture, mithun herding"	"hunting, mithun herding"	"2"	"1"	"50"	"1"	"50"	"plantation"	"agriculture"	NA	"forest"	"jhum"	NA	"yes"	"yes"	"lal amori, chapa, toko, dhuna"	NA	NA	NA	NA	"m"	38	"nyishi"	NA	3	5786.27227818496	315.354645831041	"0-1000m"	"list(c(93.4600674, 93.4212261, 93.421351, 93.4717405, 93.4600674, 26.9448927, 26.9565114, 26.9900579, 26.9898983, 26.9448927))"
"14"	"BJ.O.12"	92	"20/2/26"	"balijan"	"gh,rnh,oph,wh"	2	40	"agriculture, mithun herding"	"hunting, mithun herding"	"2"	"1"	"100"	"1"	"100"	"plantation"	"agriculture"	NA	"forest"	"jhum"	NA	"yes"	"yes"	NA	NA	NA	NA	NA	"m"	60	"nyishi"	NA	3	5786.27227818496	315.354645831041	"0-1000m"	"list(c(93.4600674, 93.4212261, 93.421351, 93.4717405, 93.4600674, 26.9448927, 26.9565114, 26.9900579, 26.9898983, 26.9448927))"
"15"	"BJ.O.13"	92	"20/2/26"	"balijan"	"gh,rnh,oph,wh"	2	40	"agriculture, mithun herding"	"hunting, mithun herding"	"2"	"1"	"50"	"1"	"50"	"plantation"	"agriculture"	NA	"forest"	"jhum"	NA	"yes"	"yes"	NA	NA	NA	NA	NA	"m"	60	"nyishi"	NA	3	5786.27227818496	315.354645831041	"0-1000m"	"list(c(93.4600674, 93.4212261, 93.421351, 93.4717405, 93.4600674, 26.9448927, 26.9565114, 26.9900579, 26.9898983, 26.9448927))"
"16"	"BJ.O.11"	93	"20/2/26"	"balijan"	"gh,rnh,oph,wh"	2	20	"agriculture, mithun herding"	"hunting, mithun herding"	"0"	"1"	"50"	"1"	"50"	"plantation"	"agriculture"	NA	"forest"	"jhum"	NA	"yes"	"yes"	NA	NA	NA	NA	NA	"m"	38	"nyishi"	"rnh last seen in 2022"	3	13030.9672801097	219.045989000569	"0-1000m"	"list(c(93.5218273, 93.4715525, 93.4717405, 93.5221295, 93.5218273, 26.9475838, 26.9447567, 26.9898983, 26.9897207, 26.9475838))"
"17"	"BJ.O.12"	93	"20/2/26"	"balijan"	"gh,rnh,oph,wh"	2	40	"agriculture, mithun herding"	"hunting, mithun herding"	"0"	"1"	"100"	"1"	"100"	"plantation"	"agriculture"	NA	"forest"	"jhum"	NA	"yes"	"yes"	NA	NA	NA	NA	NA	"m"	60	"nyishi"	"gh last seen in 1989"	3	13030.9672801097	219.045989000569	"0-1000m"	"list(c(93.5218273, 93.4715525, 93.4717405, 93.5221295, 93.5218273, 26.9475838, 26.9447567, 26.9898983, 26.9897207, 26.9475838))"
"18"	"BJ.O.13"	93	"20/2/26"	"balijan"	"gh,rnh,oph,wh"	2	40	"agriculture, mithun herding"	"hunting, mithun herding"	"0"	"1"	"100"	"1"	"100"	"plantation"	"agriculture"	NA	"forest"	"jhum"	NA	"yes"	"yes"	NA	NA	NA	NA	NA	"m"	60	"nyishi"	"wh last seen in 1995"	3	13030.9672801097	219.045989000569	"0-1000m"	"list(c(93.5218273, 93.4715525, 93.4717405, 93.5221295, 93.5218273, 26.9475838, 26.9447567, 26.9898983, 26.9897207, 26.9475838))"
"19"	"BH.O.271"	112	"27/11/25"	"boha"	"rnh,gh"	2	16	"potato farming"	"na"	"-"	"na"	"na"	"na"	"na"	"forest"	"potato farms"	NA	NA	NA	NA	"no"	"no"	"sanchar, brong shing se"	"na"	"na"	"na"	"na"	"m"	36	"monpa"	NA	4	809.189497435793	1445.19863787584	"1000-2000m"	"list(c(92.1616078, 92.1612727, 92.2116781, 92.211993, 92.1616078, 26.9881925, 27.0333306, 27.0336219, 26.9884833, 26.9881925))"
"20"	"BH.O.272"	112	"27/11/25"	"boha"	"rnh,gh"	2	25	"timepass"	"community conflicts"	"-"	"01/02/26"	"3"	"01/02/26"	"9"	"forest"	"orange farms"	NA	"primary forest"	NA	NA	"no"	"no"	"sanchar, dhuna, lungkarma, pepper, brong shing se"	"no"	"no"	"no"	"no"	"m"	41	"monpa"	NA	4	809.189497435793	1445.19863787584	"1000-2000m"	"list(c(92.1616078, 92.1612727, 92.2116781, 92.211993, 92.1616078, 26.9881925, 27.0333306, 27.0336219, 26.9884833, 26.9881925))"
